PARL25,PARL10,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
UKPARL.2025.BAC,E14000856,55400056.94,113667727.8,0.49,0.51,47037.0,91804.35,671
UKPARL.2025.BAF,E14000603,719481309.21,720772917.64,1.0,1.0,92807.65,92833.62,1197
UKPARL.2025.BAI,E14000593,19348580.27,23084253.66,0.84,0.83,99903.52,120876.56,927
UKPARL.2025.BAI,E14000701,1811638.96,23084253.66,0.08,0.09,10381.23,120876.56,220
UKPARL.2025.BAI,E14001005,1697970.16,23084253.66,0.07,0.09,10536.43,120876.56,202
UKPARL.2025.BAL,S14000043,180653406.87,219419273.78,0.82,0.88,84603.25,96205.22,905
UKPARL.2025.BAL,S14000044,31459945.58,219419273.78,0.14,0.12,11601.98,96205.22,354
UKPARL.2025.BAN,E14000539,280702512.71,512606812.62,0.55,0.8,75946.27,94990.27,709
UKPARL.2025.BAN,E14001046,231858321.64,512606812.62,0.45,0.2,19044.0,94990.27,645
UKPARL.2025.BAO,E14000594,316159795.86,316214982.53,1.0,1.0,96902.3,96902.3,1284
UKPARL.2025.BAP,E14000551,15337189.93,22870504.22,0.67,0.54,59914.0,110169.0,791
UKPARL.2025.BAP,E14000788,7519345.99,22870504.22,0.33,0.46,50255.0,110169.0,553
UKPARL.2025.BAS,E14000582,697662908.37,863048330.25,0.81,0.94,107943.23,114991.66,890
UKPARL.2025.BAS,E14000798,118676831.11,863048330.25,0.14,0.06,7048.43,114991.66,342
UKPARL.2025.BAT,E14000549,9207743.89,9772996.0,0.94,1.0,109880.3,109880.3,1074
UKPARL.2025.BAU,E14000610,243271369.44,243376410.54,1.0,1.0,108508.0,108508.0,1245
UKPARL.2025.BBH,E14000551,19134028.09,46510944.0,0.41,0.35,33333.0,96534.76,614
UKPARL.2025.BBH,E14000604,12577359.15,46510944.0,0.27,0.53,51610.0,96534.76,504
UKPARL.2025.BBH,E14000872,14778390.36,46510944.0,0.32,0.12,11591.76,96534.76,541
UKPARL.2025.BBN,E14000570,39311158.97,39593742.87,0.99,0.99,107609.06,108260.78,1179
UKPARL.2025.BCF,E14000550,165556782.96,165598413.31,1.0,1.0,94604.53,94604.53,1271
UKPARL.2025.BDE,E14000587,27569634.36,27587581.56,1.0,1.0,120493.55,120493.55,1221
UKPARL.2025.BDS,E14000587,866399.62,44127991.4,0.02,0.03,3127.88,108556.04,36
UKPARL.2025.BDS,E14000588,43227317.6,44127991.4,0.98,0.97,105428.16,108556.04,1145
UKPARL.2025.BDW,E14000589,35222639.61,35244544.89,1.0,1.0,117072.24,117072.24,1224
UKPARL.2025.BEA,E14000591,13762746.5,18237825.37,0.75,0.79,105315.67,133269.93,845
UKPARL.2025.BEA,E14000592,2740975.44,18237825.37,0.15,0.11,14794.93,133269.93,366
UKPARL.2025.BEA,E14000727,1728107.76,18237825.37,0.09,0.1,13159.33,133269.93,259
UKPARL.2025.BEB,E14000560,27648659.39,29581950.4,0.93,0.89,101846.78,114160.55,1060
UKPARL.2025.BEB,E14000564,1918809.07,29581950.4,0.06,0.11,12313.77,114160.55,178
UKPARL.2025.BED,E14000552,29201234.03,29597057.88,0.99,0.99,105162.8,105968.48,1161
UKPARL.2025.BED,E14000841,392785.18,29597057.88,0.01,0.01,805.68,105968.48,16
UKPARL.2025.BER,E14000561,22021093.12,25173042.56,0.87,0.87,104384.3,120557.93,965
UKPARL.2025.BER,E14000566,3142554.69,25173042.56,0.12,0.13,16173.63,120557.93,315
UKPARL.2025.BES,E14000613,262628904.34,402472422.71,0.65,0.9,91793.23,102192.23,778
UKPARL.2025.BES,E14001034,139799878.22,402472422.71,0.35,0.1,10399.0,102192.23,565
UKPARL.2025.BEV,E14000556,708505362.29,760066233.48,0.93,1.0,89947.0,89947.0,1056
UKPARL.2025.BEX,E14000557,410046262.4,467868715.23,0.88,0.94,85315.03,90921.42,968
UKPARL.2025.BEX,E14000735,56246423.33,467868715.23,0.12,0.06,5606.39,90921.42,301
UKPARL.2025.BGA,W07000057,138870224.02,1419089491.96,0.1,0.28,27775.0,97484.0,265
UKPARL.2025.BGA,W07000058,604096164.64,1419089491.96,0.43,0.61,59177.0,97484.0,622
UKPARL.2025.BGA,W07000059,655012290.68,1419089491.96,0.46,0.11,10532.0,97484.0,653
UKPARL.2025.BGN,W07000073,64925030.39,123545920.58,0.53,0.74,70190.0,95136.0,697
UKPARL.2025.BGN,W07000074,55984449.76,123545920.58,0.45,0.26,24946.0,95136.0,649
