Feltham and Heston	77,606	80,437	82,340	London (Hounslow)	England	London
Filton and Bradley Stoke	62,299	69,732	71,310	South Gloucestershire	England	South West
Finchley and Golders Green	71,800	71,595	72,530	London (Barnet)	England	London
Folkestone and Hythe	72,512	84,156	83,651	Kent	England	South East
Forest of Dean	66,055	68,703	69,865	Gloucestershire	England	South West
Fylde	62,745	66,504	65,679	Lancashire	England	North West
Gainsborough	64,022	63,795	74,686	Lincolnshire	England	East Midlands
Garston and Halewood	73,480	71,618	73,719	Merseyside	England	North West
Gateshead	69,403	66,066	64,524	Tyne and Wear	England	North East
Gedling	70,575	70,886	70,000	Nottinghamshire	England	East Midlands
Gillingham and Rainham	71,539	71,109	70,984	Kent	England	South East
Gloucester	74,876	80,788	82,968	Gloucestershire	England	South West
Gosport	69,708	72,845	73,268	Hampshire	England	South East
Grantham and Stamford	73,336	79,118	81,150	Lincolnshire	England	East Midlands
Gravesham	70,098	70,412	72,043	Kent	England	South East
Great Grimsby	64,594	61,929	59,200	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Great Yarmouth	69,086	70,526	69,793	Norfolk	England	Eastern
Greenwich and Woolwich	60,473	66,982	73,315	London (Greenwich)	England	London
Guildford	74,987	77,517	75,733	Surrey	England	South East
Hackney North and Stoke Newington	63,185	74,780	88,153	London (Hackney)	England	London
Hackney South and Shoreditch	57,204	73,778	84,971	London (Hackney)	England	London
Halesowen and Rowley Regis	66,579	67,656	66,048	West Midlands	England	West Midlands
Halifax	70,978	69,126	70,462	West Yorkshire (Calderdale)	England	Yorkshire & the Humber
Haltemprice and Howden	66,268	70,864	71,195	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Halton	69,727	70,322	72,818	Cheshire	England	North West
Hammersmith	67,873	70,008	72,254	London (Hammersmith and Fulham	England	London
Hampstead and Kilburn	74,573	78,552	80,195	London (Brent and Camden)	England	London
Harborough	72,881	78,753	77,760	Leicestershire	England	East Midlands
Harlow	67,232	67,700	67,994	Essex	England	Eastern
Harrogate and Knaresborough	73,962	75,044	76,408	North Yorkshire	England	Yorkshire & the Humber
Harrow East	67,365	72,537	70,981	London (Harrow)	England	London
Harrow West	64,737	69,135	69,644	London (Harrow)	England	London
Hartlepool	68,262	70,010	69,947	South East Durham & North East Yorkshire	England	North East
Harwich and North Essex	67,715	71,087	69,290	Essex	England	Eastern
Hastings and Rye	74,623	76,422	75,095	East Sussex	England	South East
Havant	70,138	70,568	70,573	Hampshire	England	South East
Hayes and Harlington	65,237	70,789	74,874	London (Hillingdon)	England	London
Hazel Grove	63,519	62,422	63,098	Greater Manchester	England	North West
Hemel Hempstead	72,019	72,561	74,616	Hertfordshire	England	Eastern
Hemsworth	71,988	73,487	72,714	West Yorkshire (Wakefield)	England	Yorkshire & the Humber
Hendon	73,976	74,329	75,285	London (Barnet)	England	London
Henley	72,331	73,851	77,946	Oxfordshire	England	South East
Hereford and South Herefordshire	69,632	71,352	71,485	Herefordshire	England	West Midlands
Hertford and Stortford	73,717	79,255	80,610	Hertfordshire	England	Eastern
Hertsmere	69,178	70,772	73,767	Hertfordshire	England	Eastern
Hexham	59,666	60,499	59,708	Northumberland	England	North East
Heywood and Middleton	78,036	79,636	79,989	Greater Manchester	England	North West
High Peak	68,061	72,178	73,336	Derbyshire	England	East Midlands
Hitchin and Harpenden	68,765	74,189	80,333	Hertfordshire	England	Eastern
Holborn and St Pancras	78,307	85,243	86,764	London (Camden)	England	London
Hornchurch and Upminster	79,496	79,568	79,331	London (Havering)	England	London
Hornsey and Wood Green	75,052	79,878	79,247	London (Haringey)	England	London
Horsham	72,277	77,001	79,085	West Sussex	England	South East
Houghton and Sunderland South	71,347	70,115	68,324	Tyne and Wear	England	North East
Hove	70,912	71,181	73,505	East Sussex	England	South East
Huddersfield	66,275	66,681	65,269	West Yorkshire (Kirklees)	England	Yorkshire & the Humber
Huntingdon	74,724	79,134	82,593	Cambridgeshire	England	Eastern
Hyndburn	68,030	69,617	68,341	Lancashire	England	North West
Ilford North	67,525	72,702	75,294	London (Redbridge)	England	London
Ilford South	75,294	86,401	91,987	London (Redbridge)	England	London
Ipswich	71,717	75,195	74,499	Suffolk	England	Eastern
Isle of Wight	103,480	110,924	108,804	Isle of Wight	England	South East
Islington North	61,054	68,777	73,326	London (Islington)	England	London
Islington South and Finsbury	58,839	67,613	68,127	London (Islington)	England	London
Jarrow	65,804	65,047	64,002	Tyne and Wear	England	North East
Keighley	68,652	66,967	68,865	West Yorkshire (Bradford)	England	Yorkshire & the Humber
Kenilworth and Southam	62,708	63,772	63,957	Warwickshire	England	West Midlands
Kensington	65,482	62,784	61,133	London (Kensington and Chelsea)	England	London
Kettering	62,813	69,610	70,155	Northamptonshire	England	East Midlands
Kingston and Surbiton	74,602	80,639	81,238	London (Kingston upon Thames)	England	London
Kingston upon Hull East	70,638	68,150	65,710	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Kingston upon Hull North	62,286	65,219	64,148	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Kingston upon Hull West and Hessle	64,369	61,232	59,100	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Kingswood	60,936	67,199	68,193	South Gloucestershire	England	South West
Knowsley	79,099	79,334	79,108	Merseyside	England	North West
Lancaster and Fleetwood	63,849	67,305	61,922	Lancashire	England	North West
Leeds Central	78,941	80,912	81,799	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Leeds East	67,571	64,742	64,754	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Leeds North East	66,930	68,269	69,097	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Leeds North West	66,466	65,047	61,974	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Leeds West	67,629	67,222	64,950	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Leicester East	66,176	74,377	75,430	Leicestershire	England	East Midlands
Leicester South	73,400	78,433	73,518	Leicestershire	England	East Midlands
Leicester West	64,301	65,432	63,204	Leicestershire	England	East Midlands
Leigh	74,231	77,001	75,905	Greater Manchester	England	North West
Lewes	65,282	68,515	69,481	East Sussex	England	South East
Lewisham, Deptford	67,682	67,590	66,913	London (Lewisham)	England	London
Lewisham East	67,833	65,508	72,290	London (Lewisham)	England	London
Lewisham West and Penge	68,411	69,399	73,428	London (Bromley and Lewisham)	England	London
Leyton and Wanstead	62,960	63,021	64,580	London (Redbridge and Waltham Forest)	England	London
Lichfield	68,301	73,085	74,234	Staffordshire	England	West Midlands
Lincoln	70,135	72,662	74,121	Lincolnshire	England	East Midlands
Liverpool, Riverside	72,873	73,406	70,829	Merseyside	England	North West
Liverpool, Walton	72,182	61,974	61,908	Merseyside	England	North West
Liverpool, Wavertree	72,256	61,979	61,549	Merseyside	England	North West
Liverpool, West Derby	70,583	62,709	63,651	Merseyside	England	North West
Loughborough	70,983	77,884	75,217	Leicestershire	England	East Midlands
Louth and Horncastle	70,463	76,233	74,870	Lincolnshire	England	East Midlands
Ludlow	63,052	66,199	66,374	Shropshire	England	West Midlands
Luton North	66,807	66,273	67,329	Bedfordshire	England	Eastern
Luton South	69,326	65,889	67,741	Bedfordshire	England	Eastern
Macclesfield	72,655	73,613	71,712	Cheshire	England	North West
Maidenhead	73,868	74,028	74,187	Berkshire	England	South East
Maidstone and The Weald	68,014	70,576	73,181	Kent	England	South East
Makerfield	72,903	74,856	74,320	Greater Manchester	England	North West
Maldon	65,899	69,539	69,066	Essex	England	Eastern
Manchester Central	69,600	89,519	86,078	Greater Manchester	England	North West
Manchester, Gorton	70,845	74,681	72,992	Greater Manchester	England	North West
Manchester, Withington	69,187	73,656	74,102	Greater Manchester	England	North West
Mansfield	77,524	79,849	77,534	Nottinghamshire	England	East Midlands
Meon Valley	65,952	71,291	72,738	Hampshire	England	South East
Meriden	78,714	83,428	81,928	West Midlands	England	West Midlands
Mid Bedfordshire	70,111	76,381	78,501	Bedfordshire	England	Eastern
Mid Derbyshire	64,939	66,572	67,477	Derbyshire	England	East Midlands
Mid Dorset and North Poole	65,066	64,705	64,299	Dorset	England	South West
Mid Norfolk	68,328	75,080	77,154	Norfolk	England	Eastern
Mid Sussex	73,822	77,044	81,034	West Sussex	England	South East
Mid Worcestershire	69,351	71,660	73,069	Worcestershire	England	West Midlands
Middlesbrough	69,638	65,851	61,873	South East Durham & North East Yorkshire	England	North East
Middlesbrough South and East Cleveland	71,942	72,876	71,154	South East Durham & North East Yorkshire	England	North East
Milton Keynes North	75,312	81,226	86,826	Buckinghamshire	England	South East
Milton Keynes South	75,682	85,552	89,656	Buckinghamshire	England	South East
Mitcham and Morden	65,629	67,074	68,474	London (Merton)	England	London
Mole Valley	69,093	72,568	74,038	Surrey	England	South East
Morecambe and Lunesdale	67,514	69,254	66,985	Lancashire	England	North West
Morley and Outwood	69,583	75,163	75,820	West Yorkshire (Leeds and Wakefield)	England	Yorkshire & the Humber
New Forest East	69,646	73,542	72,697	Hampshire	England	South East
New Forest West	65,269	68,987	68,446	Hampshire	England	South East
Newark	69,803	72,407	73,747	Nottinghamshire	England	East Midlands
Newbury	74,865	77,898	79,512	Berkshire	England	South East
Newcastle-under-Lyme	66,701	68,692	58,147	Staffordshire	England	West Midlands
Newcastle upon Tyne Central	64,803	60,795	64,243	Tyne and Wear	England	North East
Newcastle upon Tyne East	68,068	65,203	67,902	Tyne and Wear	England	North East
Newcastle upon Tyne North	68,753	67,401	67,619	Tyne and Wear	England	North East
Newton Abbot	64,555	69,600	69,928	Devon	England	South West
Normanton, Pontefract and Castleford	78,641	83,284	82,592	West Yorkshire (Wakefield)	England	Yorkshire & the Humber
North Cornwall	62,214	68,206	67,192	Cornwall	England	South West
North Devon	68,272	75,098	74,737	Devon	England	South West
North Dorset	66,608	73,010	73,759	Dorset	England	South West
North Durham	68,087	68,959	65,359	County Durham	England	North East
North East Bedfordshire	68,900	78,350	83,551	Bedfordshire	England	Eastern
North East Cambridgeshire	74,165	83,661	82,990	Cambridgeshire	England	Eastern
North East Derbyshire	71,580	72,374	71,445	Derbyshire	England	East Midlands
North East Hampshire	67,417	72,548	76,918	Hampshire	England	South East
North East Hertfordshire	70,477	72,658	74,000	Hertfordshire	England	Eastern
North East Somerset	65,942	68,546	69,380	Bath and North East Somerset	England	South West
North Herefordshire	63,418	66,711	67,926	Herefordshire	England	West Midlands
North Norfolk	66,811	68,277	68,867	Norfolk	England	Eastern
North Shropshire	72,964	77,673	78,858	Shropshire	England	West Midlands
North Somerset	71,308	78,223	80,161	North Somerset	England	South West
North Swindon	67,106	79,488	80,983	Wiltshire	England	South West
North Thanet	66,026	67,110	71,478	Kent	England	South East
North Tyneside	71,751	78,617	79,300	Tyne and Wear	England	North East
North Warwickshire	67,872	70,544	70,152	Warwickshire	England	West Midlands
North West Cambridgeshire	73,648	89,419	90,318	Cambridgeshire	England	Eastern
North West Durham	67,298	72,760	69,816	County Durham	England	North East
North West Hampshire	73,840	77,020	79,223	Hampshire	England	South East
North West Leicestershire	67,534	72,022	72,193	Leicestershire	England	East Midlands
North West Norfolk	71,144	73,269	74,402	Norfolk	England	Eastern
North Wiltshire	61,322	67,154	67,851	Wiltshire	England	South West
Northampton North	64,212	62,095	59,144	Northamptonshire	England	East Midlands
Northampton South	62,133	63,048	61,287	Northamptonshire	England	East Midlands
Norwich North	64,506	64,982	64,515	Norfolk	England	Eastern
Norwich South	68,763	73,569	74,875	Norfolk	England	Eastern
Nottingham East	64,173	59,489	60,464	Nottinghamshire	England	East Midlands
Nottingham North	68,139	64,578	65,918	Nottinghamshire	England	East Midlands
Nottingham South	72,400	69,154	68,987	Nottinghamshire	England	East Midlands
Nuneaton	66,460	68,288	68,037	Warwickshire	England	West Midlands
