"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"The Wrekin","NOT LABOUR",,-40.4,"Con","Lab",64.7,24.3,8.0,2.9,436,
"Great Yarmouth","NOT LABOUR",,-40.6,"Con","Lab",65.8,25.1,3.8,2.4,437,
"Bexhill and Battle","NOT LABOUR",,-41.0,"Con","Lab",61.8,20.8,13.4,4.1,438,
"South West Devon","NOT LABOUR",,-41.2,"Con","Lab",62.6,21.4,12.1,3.9,439,
"Dorking and Horley","LIB DEM","GREEN",-41.2,"Con","LD",51.2,9.9,32.1,4.2,440,32
"Solihull West and Shirley","NOT LABOUR",,-41.4,"Con","Lab",60.9,19.5,15.7,4.0,441,131
"Chatham and Aylesford","NOT LABOUR",,-41.5,"Con","Lab",65.9,24.4,6.7,2.5,442,
"Lewes","LIB DEM","GREEN",-41.5,"Con","LD",48.5,7.1,41.1,2.9,443,12
"Mid Norfolk","NOT LABOUR",,-41.5,"Con","Lab",64.4,22.9,10.4,0.3,444,
"Meriden and Solihull East","NOT LABOUR",,-41.6,"Con","Lab",62.4,20.8,13.6,3.2,445,
"Harpenden and Berkhamsted","LIB DEM",,-41.7,"Con","LD",52.3,10.6,25.3,1.6,446,61
"Hereford and South Herefordshire","NOT LABOUR",,-41.8,"Con","Lab",61.7,19.9,13.3,5.1,447,
"South Basildon and East Thurrock","NOT LABOUR",,-41.9,"Con","Lab",65.4,23.6,4.1,0.2,448,
"Torridge and Tavistock","NOT LABOUR",,-42.0,"Con","LD",59.8,17.9,17.9,3.4,449,104
"North Bedfordshire","NOT LABOUR",,-42.0,"Con","Lab",61.1,19.1,13.2,2.8,450,
"Bury St Edmunds and Stowmarket","NOT LABOUR",,-42.1,"Con","Lab",62.9,20.8,1.1,12.4,451,
"Orpington","NOT LABOUR",,-42.1,"Con","Lab",61.9,19.8,14.6,3.7,452,
"West Suffolk","NOT LABOUR",,-42.2,"Con","Lab",64.3,22.2,9.0,4.5,453,
"Wyre Forest","NOT LABOUR",,-42.4,"Con","Lab",65.2,22.8,8.1,3.9,454,
"Harrogate and Knaresborough","LIB DEM","GREEN",-42.4,"Con","LD",52.0,9.6,36.2,0.0,455,21
"Maidenhead","LIB DEM",,-42.4,"Con","LD",57.4,15.0,23.8,3.8,456,68
"South Northamptonshire","NOT LABOUR",,-42.4,"Con","Lab",63.2,20.8,11.1,3.8,457,
"Tewkesbury","LIB DEM",,-42.4,"Con","LD",58.1,15.7,22.0,4.2,458,76
"Chesham and Amersham","LIB DEM",,-42.4,"Con","LD",56.3,13.9,22.4,4.8,459,73
"Hornchurch and Upminster","NOT LABOUR",,-42.6,"Con","Lab",65.4,22.9,7.1,3.6,460,
"Bromsgrove","NOT LABOUR",,-42.6,"Con","Lab",63.4,20.8,12.5,3.3,461,
"Witney","LIB DEM",,-42.7,"Con","LD",58.1,15.4,26.0,0.0,462,58
"Faversham and Mid Kent","NOT LABOUR",,-42.8,"Con","Lab",62.6,19.8,12.5,4.1,463,
"North Cotswolds","NOT LABOUR",,-42.8,"Con","LD",59.3,16.5,18.0,5.8,464,103
"South Suffolk","NOT LABOUR",,-42.9,"Con","Lab",62.1,19.2,12.7,6.0,465,
